ipr_accession	category
IPR001377	Other
IPR001379	Other
IPR001380	Other
IPR001381	Other
IPR001382	Other
IPR001383	Other
IPR001384	Other
IPR001385	Other
IPR001387	 
IPR001388	Other
IPR001389	Other
IPR001390	Other
IPR001391	Other
IPR001392	Other
IPR001393	Other
IPR001394	Other
IPR001396	Other
IPR001397	Other
IPR001398	Other
IPR001399	Other
IPR001400	Other
IPR001401	Other
IPR001402	 
IPR001403	 
IPR001404	Other
IPR001405	Other
IPR001406	Other
IPR001407	Other
IPR001408	Other
IPR001409	 
IPR001411	Other
IPR001412	Other
IPR001413	Other
IPR001414	Other
IPR001415	Other
IPR001416	Other
IPR001418	 
IPR001419	Other
IPR001420	 
IPR001421	Other
IPR001422	Other
IPR001423	Other
IPR001424	Other
IPR001425	Other
IPR001426	Other
IPR001427	 
IPR001429	Other
IPR001431	Other
IPR001432	Other
IPR001433	Other
IPR001434	Other
IPR001435	 
IPR001436	Other
IPR001437	 
IPR001439	Other
IPR001440	Other
IPR001441	Other
IPR001442	Other
IPR001443	Other
IPR001444	Other
IPR001445	Other
IPR001446	Other
IPR001447	Other
IPR001448	 
IPR001451	Other
IPR001452	Other
IPR001453	Other
IPR001455	Other
IPR001456	Other
IPR001457	Other
IPR001458	 
IPR001460	Other
IPR001461	Other
IPR001462	 
IPR001463	Other
IPR001464	 
IPR001465	Other
IPR001466	Other
IPR001468	Other
IPR001469	Other
IPR001470	Other
IPR001471	 
IPR001474	Other
IPR001475	Other
IPR001477	Other
IPR001478	Other
IPR001479	Other
IPR001480	Other
IPR001481	 
IPR001482	Other
IPR001483	Other
IPR001484	Other
IPR001486	Other
IPR001487	 
IPR001489	Other
IPR001490	Other
IPR001492	Other
IPR001493	Other
IPR001494	Other
IPR001496	Other
IPR001497	 
IPR001498	Other
IPR001499	 
IPR001500	Other
IPR001501	Other
IPR001503	Other
IPR001504	Other
IPR001505	Other
IPR001506	Other
IPR001507	Other
IPR001508	Other
IPR001509	Other
IPR001510	 
IPR001512	Other
IPR001513	 
IPR001514	 
IPR001515	Other
IPR001516	Other
IPR001517	Other
IPR001518	Other
IPR001519	Other
IPR001520	Other
IPR001521	Other
IPR001522	Other
IPR001523	 
IPR001524	Other
IPR001525	 
IPR001528	Other
IPR001529	 
IPR001530	 
IPR001531	Other
IPR001533	Other
IPR001534	Other
IPR001535	Other
IPR001537	Other
IPR001538	Other
IPR001539	Other
IPR001542	Other
IPR001543	Other
IPR001544	Other
IPR001545	Other
IPR001546	 
IPR001547	Other
IPR001548	Other
IPR001550	 
IPR001551	Other
IPR001554	Other
IPR001555	Other
IPR001556	 
IPR001557	Other
IPR001558	Other
IPR001559	Other
IPR001560	 
IPR001561	Other
IPR001562	Other
IPR001563	Other
IPR001564	Other
IPR001565	Other
IPR001566	Other
IPR001567	Other
IPR001568	Other
IPR001569	Other
IPR001570	Other
IPR001571	 
IPR001573	Other
IPR001574	Other
IPR001576	Other
IPR001577	Other
IPR001578	Other
IPR001579	Other
IPR001580	Other
IPR001581	Other
IPR001584	 
IPR001585	Other
IPR001586	Other
IPR001587	Other
IPR001588	Other
IPR001589	Other
IPR001590	Other
IPR001591	Other
IPR001592	Other
IPR001593	Other
IPR001594	Other
IPR001595	Other
IPR001597	Other
IPR001598	 
IPR001599	Other
IPR001602	Other
IPR001604	 
IPR001605	Other
IPR001606	 
IPR001607	 
IPR001608	Other
IPR001609	Other
IPR001610	Other
IPR001611	 
IPR001612	Other
IPR001613	Other
IPR001614	Other
IPR001615	Other
IPR001616	 
IPR001619	Other
IPR001620	Other
IPR001621	Other
IPR001623	Other
IPR001624	Other
IPR001626	Other
IPR001627	Other
IPR001628	 
IPR001630	 
IPR001631	 
IPR001632	Other
IPR001633	Other
IPR001634	 
IPR001635	Other
IPR001636	Other
IPR001637	Other
IPR001638	Other
IPR001639	Other
IPR001640	Other
IPR001641	Other
IPR001642	 
IPR001644	Other
IPR001645	Other
IPR001646	Other
IPR001647	 
IPR001648	Other
IPR001650	 
IPR001651	Other
IPR001653	Other
IPR001654	Other
IPR001655	Other
IPR001656	Other
IPR001657	Other
IPR001658	Other
IPR001660	Other
IPR001661	Other
IPR001662	Other
IPR001663	Other
IPR001665	Other
IPR001666	Other
IPR001667	 
IPR001668	 
IPR001669	 
IPR001670	Other
IPR001671	 
IPR001672	Other
IPR001673	Other
IPR001674	Other
IPR001675	Other
IPR001676	Other
IPR001677	Other
IPR001678	Other
IPR001679	 
IPR001680	Other
IPR001681	 
IPR001683	Other
IPR001684	Other
IPR001686	Other
IPR001688	 
IPR001689	Other
IPR001690	Other
IPR001692	Other
IPR001693	Other
IPR001694	Other
IPR001695	Other
IPR001696	Other
IPR001697	Other
IPR001698	Other
IPR001699	 
IPR001701	Other
IPR001702	Other
IPR001704	Other
IPR001705	Other
IPR001706	Other
IPR001707	Other
IPR001708	Other
IPR001709	Other
IPR001710	Other
IPR001711	Other
IPR001712	Other
IPR001713	Other
IPR001714	 
IPR001715	Other
IPR001717	Other
IPR001718	Other
IPR001719	 
IPR001721	Other
IPR001722	Other
IPR001723	 
IPR001724	Other
IPR001726	 
IPR001727	Other
IPR001728	 
IPR001729	Other
IPR001730	Other
IPR001731	Other
IPR001732	Other
IPR001733	Other
IPR001734	Other
IPR001735	Other
IPR001736	Other
IPR001737	Other
IPR001738	 
IPR001739	 
IPR001740	 
IPR001742	 
IPR001743	Other
IPR001746	Other
IPR001747	Other
IPR001748	Other
IPR001749	 
IPR001750	Other
IPR001751	Other
IPR001752	Other
IPR001753	Other
IPR001754	Other
IPR001757	Other
IPR001758	 
IPR001759	Other
IPR001760	Other
IPR001761	 
IPR001762	Other
IPR001763	Other
IPR001764	Other
IPR001765	Other
IPR001766	 
IPR001767	Other
IPR001769	Other
IPR001770	Other
IPR001771	 
IPR001772	Other
IPR001774	Other
IPR001775	Other
IPR001779	Other
IPR001780	Other
IPR001781	 
IPR001782	 
IPR001783	Other
IPR001784	Other
IPR001786	 
IPR001787	Other
IPR001788	 
IPR001789	 
IPR001790	Other
IPR001791	Other
IPR001792	Other
IPR001793	 
IPR001795	 
IPR001796	 
IPR001799	Other
IPR001800	Other
IPR001801	 
IPR001802	Other
IPR001803	Other
IPR001805	Other
IPR001806	Other
IPR001807	Other
IPR001809	Other
IPR001810	Other
IPR001811	Other
IPR001812	Other
IPR001815	Other
IPR001816	Other
IPR001817	 
IPR001818	Other
IPR001819	Other
IPR001820	Other
IPR001821	Other
IPR001824	Other
IPR001826	Other
IPR001827	 
IPR001828	Other
IPR001829	Other
IPR001830	Other
IPR001831	Other
IPR001834	Other
IPR001835	Other
IPR001837	Other
IPR001839	Other
IPR001840	Other
IPR001841	 
IPR001842	Other
IPR001843	Other
IPR001844	Other
IPR001845	 
IPR001846	Other
IPR001847	 
IPR001848	Other
IPR001849	Other
IPR001850	Other
IPR001851	Other
IPR001852	Other
IPR001853	Other
IPR001854	Other
IPR001855	Other
IPR001856	Other
IPR001857	Other
IPR001858	Other
IPR001859	Other
IPR001860	Other
IPR001862	Other
IPR001863	Other
IPR001864	Other
IPR001865	Other
IPR001866	 
IPR001867	 
IPR001869	Other
IPR001870	Other
IPR001872	Other
IPR001873	Other
IPR001874	Other
IPR001875	Other
IPR001876	 
IPR001878	 
IPR001879	 
IPR001881	Other
IPR001882	Other
IPR001883	 
IPR001884	Other
IPR001885	Other
IPR001887	Other
IPR001888	Other
IPR001889	Other
IPR001890	Other
IPR001891	Other
IPR001892	Other
IPR001893	Other
IPR001894	Other
IPR001895	Other
IPR001896	Other
IPR001897	Other
IPR001898	Other
IPR001900	Other
IPR001901	Other
IPR001902	Other
IPR001903	Other
IPR001905	Other
IPR001906	Other
IPR001907	 
IPR001908	 
IPR001909	 
IPR001910	Other
IPR001911	Other
IPR001912	 
IPR001913	Other
